Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Afghanistan,AFG,2.9084,1.0093,8.4272,7.6117,10.3972,11.8099,12.1046,12.1436,12.4864,11.298,11.6486,12.0684
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Albania,ALB,6.6451,3.2329,4.8756,4.5382,5.3613,5.3341,4.984,4.5676,5.1122,4.5239,4.2226,4.2437
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Algeria,DZA,72.1599,87.9391,164.5785,160.7458,166.3203,174.8053,181.6864,171.9505,181.3215,189.1886,190.5786,186.3584
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,American Samoa,ASM,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Angola,AGO,11.2308,16.512,33.0865,31.2748,27.9951,25.8142,26.9963,20.538,25.5641,26.6839,27.336,28.1004
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Antigua and Barbuda,ATG,0.164,0.1357,0.291,0.3149,0.2772,0.2872,0.3426,0.326,0.3315,0.343,0.3441,0.3562
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Argentina,ARG,100.1958,136.7561,196.1938,194.1404,191.3736,189.8171,183.2687,168.1154,185.676,195.0411,189.8908,183.272
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Armenia,ARM,20.7801,3.5697,5.6172,5.3749,5.6892,5.9516,6.4247,6.9145,7.4634,7.7742,7.4987,7.4936
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Aruba,ABW,0.201,0.2689,0.4625,0.4854,0.4671,0.4653,0.5095,0.4887,0.5074,0.5355,0.5371,0.556
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Australia,AUS,277.715,353.8956,400.6316,408.6132,411.2113,409.2476,407.9086,392.5458,384.7347,378.0651,377.4957,383.4031
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Austria,AUT,61.564,66.6946,67.3632,67.7745,70.0851,67.2508,68.7767,62.9162,66.2034,62.6472,58.4761,58.0304
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Azerbaijan,AZE,56.1244,28.7946,34.5229,34.4155,34.226,34.7625,36.9819,35.4067,37.4242,39.6836,41.7458,38.8875
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,"Bahamas, The",BHS,1.0865,0.9973,1.1204,1.2455,1.3738,1.2106,1.4505,1.1733,1.4488,1.4055,1.4098,1.4592
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Bahrain,BHR,11.997,17.7715,33.4691,33.4571,33.7521,33.822,36.8474,36.8402,37.3578,38.8307,38.689,37.9692
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Bangladesh,BGD,14.767,26.9773,85.4452,93.9921,101.0415,105.1823,109.3222,104.1229,117.7683,120.8657,118.9891,124.1907
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Barbados,BRB,0.6158,0.588,0.7195,0.7728,0.6819,0.7782,0.8686,0.6726,0.6515,0.6889,0.6906,0.7128
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Belarus,BLR,105.5332,56.2599,59.1683,59.0629,60.2218,63.4486,61.2475,58.1601,58.6423,55.8945,53.8204,54.2158
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Belgium,BEL,115.8157,124.8977,102.4165,101.3516,99.7694,100.4585,100.3135,91.9274,96.0214,89.6767,85.7301,86.6463
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Belize,BLZ,0.1265,0.1397,0.2472,0.2608,0.2847,0.2846,0.3982,0.3186,0.3361,0.3545,0.3756,0.3889
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Benin,BEN,0.3986,1.5461,5.8104,7.1473,7.2445,8.251,8.1435,8.7059,6.7467,7.0594,6.8922,7.0481
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Bermuda,BMU,0.2525,0.1504,0.2307,0.3117,0.2853,0.3009,0.3025,0.2142,0.2447,0.2575,0.2583,0.2673
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Bhutan,BTN,0.1807,0.4054,1.3096,1.4244,1.4736,1.7505,1.8063,1.4131,1.5445,1.5172,1.5607,1.5919
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Bolivia,BOL,6.5843,8.2048,19.9523,21.3607,21.7833,21.9655,21.9997,18.5659,21.8696,23.3823,24.4241,28.4356
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Bosnia and Herzegovina,BIH,24.5739,14.2812,20.8309,23.5062,23.9898,24.0642,22.5975,22.5364,23.0097,22.3986,20.8288,20.4074
